22979e,2024-12-08 09:57:51,TEST,roupa,0
8742cd,2024-12-08 09:58:07,TEST,roupa,0
2b46c6,2024-12-08 09:58:31,TEST,roupa,0
274525,2024-12-08 09:58:45,TEST,roupa,0
7e13d9,2024-12-08 10:00:19,FREE,roupa,
24a666,2024-12-08 10:02:07,TEST,roupa,0
ff5ded,2024-12-08 10:03:27,TEST,roupa,COMP
c11ab3,2024-12-08 10:03:36,TEST,roupa,0
eb6dde,2024-12-08 10:03:47,TEST,roupa,0
815c57,2024-12-08 10:04:55,TEST,roupa,0
2e9a78,2024-12-08 10:05:08,TEST,roupa,0
3d2aee,2024-12-08 10:05:40,TEST,roupa,0
fe5ed4,2024-12-08 10:06:26,TEST,roupa,0
d0a501,2024-12-08 10:07:13,TEST,roupa,0
2fb238,2024-12-08 10:07:49,TEST,roupa,COMP
5d5fd7,2024-12-08 10:07:57,TEST,roupa,0
f51913,2024-12-08 10:09:16,TEST,roupa,0
3b86c2,2024-12-08 10:09:50,TEST,roupa,COMP
03cf9a,2024-12-08 10:10:01,TEST,roupa,COMP
d61e74,2024-12-08 10:10:57,TEST,roupa,0
1643d3,2024-12-08 10:11:12,TEST,roupa,0
dd5b56,2024-12-08 10:12:56,TEST,roupa,0
e4a81c,2024-12-08 10:13:42,FREE,roupa,
d6196e,2024-12-08 10:22:44,TEST,roupa,100
dfc165,2024-12-08 10:23:01,DOWN,notebook,
71186f,2024-12-08 10:23:06,DOWN,motoca,
f2c5f6,2024-12-08 13:49:40,TEST,motoca,53
4c9951,2024-12-08 13:51:10,TEST,motoca,93
a8094f,2024-12-08 13:52:06,TEST,motoca,100
7ecb20,2024-12-08 14:24:21,QUIT,,
b507bb,2024-12-09 10:16:07,OPEN,,
256d54,2024-12-09 10:16:15,DOWN,grafite,
5c722c,2024-12-09 11:55:38,TEST,grafite,COMP
216791,2024-12-09 12:00:11,TEST,grafite,COMP
db3892,2024-12-09 12:02:57,TEST,grafite,COMP
e719ab,2024-12-09 12:04:36,TEST,grafite,COMP
b0b1d4,2024-12-09 12:06:15,TEST,grafite,COMP
1e938f,2024-12-09 12:06:58,TEST,grafite,COMP
27bf42,2024-12-09 12:07:56,TEST,grafite,COMP
4a1696,2024-12-09 12:08:33,TEST,grafite,COMP
d89303,2024-12-09 12:10:43,TEST,grafite,COMP
f672da,2024-12-09 12:15:50,TEST,grafite,0
7e0fca,2024-12-09 12:15:59,TEST,grafite,10
1d1aa5,2024-12-09 12:18:30,TEST,grafite,10
5e7ba4,2024-12-09 12:19:34,TEST,grafite,20
003254,2024-12-09 12:22:40,TEST,grafite,10
e85dea,2024-12-09 12:23:06,TEST,grafite,20
fec056,2024-12-09 12:25:44,TEST,grafite,20
82988a,2024-12-09 12:28:21,TEST,grafite,20
37fda5,2024-12-09 12:52:48,TEST,grafite,20
49e6b4,2024-12-09 12:56:43,TEST,grafite,90
56e2fe,2024-12-09 12:58:56,TEST,grafite,80
e34042,2024-12-09 12:59:26,TEST,grafite,80
37e5e3,2024-12-09 13:00:28,TEST,grafite,80
0dd353,2024-12-09 13:01:42,TEST,grafite,90
4c26e2,2024-12-09 13:02:53,TEST,grafite,90
dd6726,2024-12-09 13:03:27,TEST,grafite,90
fccaf7,2024-12-09 13:04:43,TEST,grafite,90
c4c4cc,2024-12-09 13:05:59,TEST,grafite,100
e4bdc4,2024-12-09 13:48:36,DOWN,motouber,
